"ID";"RegioS";"Eigendom";"Perioden";"GemiddeldeWOZWaardeVanWoningen_1"
"259";"PV25  ";"A047048";"2020JJ00";"     220"
"260";"PV25  ";"A047048";"2021JJ00";"     233"
"261";"PV25  ";"A047048";"2022JJ00";"     252"
"262";"PV25  ";"A047048";"2023JJ00";"     293"
"263";"PV25  ";"A047048";"2024JJ00";"       ."
"264";"PV26  ";"T001132";"2019JJ00";"     301"
"265";"PV26  ";"T001132";"2020JJ00";"     326"
"266";"PV26  ";"T001132";"2021JJ00";"     349"
"267";"PV26  ";"T001132";"2022JJ00";"     382"
"268";"PV26  ";"T001132";"2023JJ00";"     448"
"269";"PV26  ";"T001132";"2024JJ00";"     450"
"270";"PV26  ";"1014800";"2019JJ00";"     361"
"271";"PV26  ";"1014800";"2020JJ00";"     390"
"272";"PV26  ";"1014800";"2021JJ00";"     417"
"273";"PV26  ";"1014800";"2022JJ00";"     457"
"274";"PV26  ";"1014800";"2023JJ00";"     535"
"275";"PV26  ";"1014800";"2024JJ00";"       ."
"276";"PV26  ";"A047047";"2019JJ00";"     191"
"277";"PV26  ";"A047047";"2020JJ00";"     211"
"278";"PV26  ";"A047047";"2021JJ00";"     230"
"279";"PV26  ";"A047047";"2022JJ00";"     256"
"280";"PV26  ";"A047047";"2023JJ00";"     303"
"281";"PV26  ";"A047047";"2024JJ00";"       ."
"282";"PV26  ";"A047048";"2019JJ00";"     257"
"283";"PV26  ";"A047048";"2020JJ00";"     278"
"284";"PV26  ";"A047048";"2021JJ00";"     296"
"285";"PV26  ";"A047048";"2022JJ00";"     314"
"286";"PV26  ";"A047048";"2023JJ00";"     366"
"287";"PV26  ";"A047048";"2024JJ00";"       ."
"288";"PV27  ";"T001132";"2019JJ00";"     318"
"289";"PV27  ";"T001132";"2020JJ00";"     350"
"290";"PV27  ";"T001132";"2021JJ00";"     368"
"291";"PV27  ";"T001132";"2022JJ00";"     394"
"292";"PV27  ";"T001132";"2023JJ00";"     461"
"293";"PV27  ";"T001132";"2024JJ00";"     462"
"294";"PV27  ";"1014800";"2019JJ00";"     374"
"295";"PV27  ";"1014800";"2020JJ00";"     410"
"296";"PV27  ";"1014800";"2021JJ00";"     435"
"297";"PV27  ";"1014800";"2022JJ00";"     471"
"298";"PV27  ";"1014800";"2023JJ00";"     548"
"299";"PV27  ";"1014800";"2024JJ00";"       ."
"300";"PV27  ";"A047047";"2019JJ00";"     224"
"301";"PV27  ";"A047047";"2020JJ00";"     250"
"302";"PV27  ";"A047047";"2021JJ00";"     260"
"303";"PV27  ";"A047047";"2022JJ00";"     276"
"304";"PV27  ";"A047047";"2023JJ00";"     330"
"305";"PV27  ";"A047047";"2024JJ00";"       ."
"306";"PV27  ";"A047048";"2019JJ00";"     328"
"307";"PV27  ";"A047048";"2020JJ00";"     358"
"308";"PV27  ";"A047048";"2021JJ00";"     366"
"309";"PV27  ";"A047048";"2022JJ00";"     380"
"310";"PV27  ";"A047048";"2023JJ00";"     445"
"311";"PV27  ";"A047048";"2024JJ00";"       ."
"312";"PV28  ";"T001132";"2019JJ00";"     236"
"313";"PV28  ";"T001132";"2020JJ00";"     261"
"314";"PV28  ";"T001132";"2021JJ00";"     282"
"315";"PV28  ";"T001132";"2022JJ00";"     311"
"316";"PV28  ";"T001132";"2023JJ00";"     359"
"317";"PV28  ";"T001132";"2024JJ00";"     373"
"318";"PV28  ";"1014800";"2019JJ00";"     299"
"319";"PV28  ";"1014800";"2020JJ00";"     328"
"320";"PV28  ";"1014800";"2021JJ00";"     354"
"321";"PV28  ";"1014800";"2022JJ00";"     388"
"322";"PV28  ";"1014800";"2023JJ00";"     447"
"323";"PV28  ";"1014800";"2024JJ00";"       ."
"324";"PV28  ";"A047047";"2019JJ00";"     152"
"325";"PV28  ";"A047047";"2020JJ00";"     171"
"326";"PV28  ";"A047047";"2021JJ00";"     188"
"327";"PV28  ";"A047047";"2022JJ00";"     210"
"328";"PV28  ";"A047047";"2023JJ00";"     244"
